High School Name, Code, State ,
LAWRENCE COUNTY CHRISTIAN SCHOOL,11929,AL,
LAWRENCE COUNTY HIGH SCHOOL,11930,AL,
LAWSON STATE COMMUNITY COLLEGE,1933,AL,
LECROY CAREER TECHNICAL CENTER,10681,AL,
LEE HIGH SCHOOL,11467,AL,
LEE HIGH SCHOOL,11900,AL,
LEE-SCOTT ACADEMY,10223,AL,
LEEDS HIGH SCHOOL,11600,AL,
LEFLORE MAGNET HIGH SCHOOL,11831,AL,
LEROY HIGH SCHOOL,11625,AL,
LEXINGTON HIGH SCHOOL,11630,AL,
LIBERTY CHRISTIAN ACADEMY,11328,AL,
LIBERTY CHRISTIAN ACADEMY,11932,AL,
LIBERTY CHRISTIAN SCHOOL,12544,AL,
LIFE CHRISTIAN ACADEMY,11694,AL,
LIGHTHOUSE BAPTIST ACADEMY,12618,AL,
LIGHTHOUSE CHRISTIAN ACADEMY,11202,AL,
LIGHTHOUSE CHRISTIAN ACADEMY,11891,AL,
LIGHTHOUSE LEARNING CENTER,12699,AL,
LIGHTHOUSE MINISTRIES,10988,AL,
LILLIE B WILLIAMSON HIGH SCHOOL,11838,AL,
LIMESTONE COUNTY CAREER TECHNICAL CENTER,10186,AL,
LINCOLN HIGH SCHOOL,11635,AL,
LINDEN HIGH SCHOOL,11645,AL,
LINDSAY LANE CHRISTIAN ACADEMY,10014,AL,
LIVING WORD ACADEMY,11281,AL,
LIVING WORD CHRISTIAN KINGDOM ACADEMY,11819,AL,
LOACHAPOKA HIGH SCHOOL,11671,AL,
LOCUST FORK HIGH SCHOOL,12295,AL,
LOVELESS ACADEMIC MAGNET PROGRAM HIGH SCHOOL,11896,AL,
LOWNDES ACADEMY,11683,AL,
LUVERNE HIGH SCHOOL,11690,AL,
LYMAN WARD MILITARY ACADEMY,10583,AL,
LYNN HIGH SCHOOL,11695,AL,
MACON EAST ACADEMY,12703,AL,
MADISON ACADEMY,11468,AL,
MADISON BAPTIST ACADEMY,11699,AL,
MADISON COUNTY HIGH SCHOOL,11345,AL,
MAGNOLIA SPRINGS BAPTIST ACADEMY,12617,AL,
MAPLESVILLE HIGH SCHOOL,11705,AL,
MARANATHAN ACADEMY,10378,AL,
MARBURY HIGH SCHOOL,11710,AL,
MARENGO ACADEMY,11648,AL,
MARENGO HIGH SCHOOL,10890,AL,
MARIETTA JOHNSON SCHOOL OF ORGANIC EDUCATION,11065,AL,
MARION ACADEMY,11718,AL,
MARION COUNTY HIGH SCHOOL,11330,AL,
MARION HIGH SCHOOL,11725,AL,
MARS HILL BIBLE SCHOOL,11130,AL,
MARSHALL CHRISTIAN ACADEMY,10030,AL,
MARSHALL TECH SCHOOL,11343,AL,
MARY G MONTGOMERY HIGH SCHOOL,12450,AL,
MASTERS HAND CHRISTIAN SCHOOL,10869,AL,
MATTIE T BLOUNT HIGH SCHOOL,12233,AL,
MCADORY HIGH SCHOOL,11730,AL,
MCCULLY HILL CHRISTIAN SCHOOL,12821,AL,
MCGILL TOOLEN CATHOLIC HIGH SCHOOL,11820,AL,
MCINTOSH HIGH SCHOOL,11735,AL,
MCKENZIE HIGH SCHOOL,11740,AL,
MEADOWVIEW CHRISTIAN SCHOOL,12434,AL,
MEEK HIGH SCHOOL,10140,AL,
MELLOW VALLEY CHRISTIAN ACADEMY,10781,AL,
MIDFIELD HIGH SCHOOL,11748,AL,
MILLRY HIGH SCHOOL,11778,AL,
MINOR HIGH SCHOOL,10375,AL,
MIRACLE DELIVERANCE TEMPLE LEARNING ACADEMY,10379,AL,
MOBILE CHRISTIAN HIGH SCHOOL,11821,AL,
MOFFETT ROAD CHRISTIAN SCHOOL,11827,AL,
MONROE ACADEMY,11848,AL,
MONROE COUNTY HIGH SCHOOL,11850,AL,
MONROE SENIOR HIGH SCHOOL,11681,AL,
MONTEVALLO HIGH SCHOOL,11858,AL,
MONTGOMERY ACADEMY,11897,AL,
MONTGOMERY CATHOLIC PREP SCHOOL,11880,AL,
MONTGOMERY COUNTY HIGH SCHOOL,12255,AL,
MOODY HIGH SCHOOL,12112,AL,
MORTIMER JORDAN HIGH SCHOOL,11925,AL,
MOUNT PISGAH BAPTIST ACADEMY,10187,AL,
MOUNTAIN BROOK HIGH SCHOOL,10380,AL,
MOUNTAIN VIEW BAPTIST SCHOOL,10346,AL,
MOUNTAIN VIEW CHRISTIAN ACADEMY,10547,AL,
MUNFORD HIGH SCHOOL,11960,AL,
MURPHY HIGH SCHOOL,11830,AL,
MURPHY HIGH SCHOOL ADULT VETERANS DIVISION,11834,AL,
MUSCLE SHOALS HIGH SCHOOL,11927,AL,
NEW BROCKTON HIGH SCHOOL,11973,AL,
NEW CENTURY TECHNOLOGY HIGH SCHOOL,11494,AL,
NEW HOPE HIGH SCHOOL,11975,AL,
NEW LIFE CHRISTIAN ACADEMY,11757,AL,
NEW LIFE CHRISTIAN ACADEMY,12671,AL,
NEW LIFE CHRISTIAN SCHOOL,11851,AL,
NORTH ALABAMA FRIENDS SCHOOL,11487,AL,
NORTH BALDWIN CENTER FOR TECHNOLOGY,10248,AL,
NORTH JACKSON HIGH SCHOOL,12535,AL,
NORTH RIVER CHRISTIAN ACADEMY,12687,AL,
NORTH SAND MOUNTAIN HIGH SCHOOL,11443,AL,
NORTHEAST ALABAMA COMM COLL,1576,AL,
NORTHRIDGE HIGH SCHOOL,12686,AL,
NORTHSIDE HIGH SCHOOL,12365,AL,
NORTHSIDE METHODIST ACADEMY,10913,AL,
NORTHVIEW HIGH SCHOOL,10914,AL,
NOTASULGA HIGH SCHOOL,12013,AL,
OAK GROVE HIGH SCHOOL,10320,AL,
OAK MOUNTAIN HIGH SCHOOL,10408,AL,
OAK PARK CHRISTIAN SCHOOL,11836,AL,
OAKMAN HIGH SCHOOL,12025,AL,
OAKWOOD ADVENTIST ACADEMY,11470,AL,
OHATCHEE HIGH SCHOOL,12035,AL,
ONE SENSE CHURCH SCHOOL,10738,AL,
ONEONTA HIGH SCHOOL,12040,AL,
OPELIKA HIGH SCHOOL,12055,AL,
OPEN DOOR CHRISTIAN SCHOOL,11142,AL,
OPEN DOOR CHRISTIAN SCHOOL,10778,AL,
OPP HIGH SCHOOL,12070,AL,
OXFORD CHRISTIAN SCHOOL,12086,AL,
OXFORD HIGH SCHOOL,12085,AL,
P D JACKSON-OLIN HIGH SCHOOL,10435,AL,
PAINT ROCK VALLEY HIGH SCHOOL,12240,AL,
PARAMOUNT JUNIOR HIGH SCHOOL,10475,AL,
PARKWAY CHRISTIAN ACADEMY,10404,AL,
PARKWAY CHRISTIAN SCHOOL,10406,AL,
PARRISH HIGH SCHOOL,12110,AL,
PASE HIGH SCHOOL,11189,AL,
PATHWAY BAPTIST CHRISTIAN SCHOOL,10916,AL,
PATHWAY INC,11974,AL,
PATHWAYS ACADEMY,11242,AL,
PATRICIAN ACADEMY,10553,AL,
PATRICK HENRY STATE JUNIOR COLLEGE,1644,AL,
PAUL W BRYANT HIGH SCHOOL,10767,AL,
PEARL LAKE CHRISTIAN ACADEMY,12529,AL,
PELHAM HIGH SCHOOL,12111,AL,
PELL CITY HIGH SCHOOL,12115,AL,
PHENIX CHRISTIAN SCHOOL,12143,AL,
PHIL CAMPBELL HIGH SCHOOL,12150,AL,
PHILLIPS HIGH SCHOOL,10265,AL,
PICKENS ACADEMY,10598,AL,
PICKENS COUNTY HIGH SCHOOL,12290,AL,
PIEDMONT HIGH SCHOOL,12160,AL,
PIKE COUNTY HIGH SCHOOL,10540,AL,
PIKE LIBERAL ARTS SCHOOL,12672,AL,
PINNACLE SCHOOLS,11508,AL,
PINSON VALLEY HIGH SCHOOL,12183,AL,
PISGAH HIGH SCHOOL,12185,AL,
PLAINVIEW SCHOOL,12252,AL,
PLEASANT GROVE CHRISTIAN ACADEMY,12208,AL,
PLEASANT GROVE HIGH SCHOOL,12207,AL,
PLEASANT HOME SCHOOL,10090,AL,
PLEASANT VALLEY HIGH SCHOOL,11534,AL,
POINTE ACADEMY,11847,AL,
