High School	 StreetAddress	 City	 State	 Zip		
Windsor Forest High School	12419 Largo Drive	Savannah	 GA 31419			
Woodland High School	800 Old Alabama Road	Cartersville	 GA 30120			
Woodstock High School	2010 Towne Lake Hills South Dr	Woodstock	 GA 30189			
Worth County High School	406 West King Street	Sylvester	 GA 31791			
Deary School	502 1st Street	Deary	 ID 83823			
Declo High School	505 East Main Street	Declo	 ID 83323			
Dehryl A. Dennis  Professional-Technical Education	8201 W Victory Road	Boise	 ID 83709			
Destiny Christian School	Po Box 294	Nampa	 ID 83686			
Eagle Academy	100 South Academy Avenue	Eagle	 ID 83616			
Eagle High School	574 North Park Lane	Eagle	 ID 83616			
Eastern Idaho Professional-Technical High School						
Elk Mountain Academy	3067 Mosquito Creek Rd	Clark Fork	 ID 83811			
Emmett High School	721 West 12th Street	Emmett	 ID 83617			
Emmett Valley Christian School	833 Tyler Rd		Emmett	 ID 83617		
Filer High School	2915 Wildcat Way	Filer	 ID 83328			
Firth High School	329 Lincoln Street	Firth	 ID 83236			
Fort Boise High School	300 Fort Street	Boise	 ID 83702			
Foundations Academy	PO Box 2701	Boise	 ID 83701-2701			
Fruitland High School	501 Iowa Avenue	Fruitland	 ID 83619			
Garden Valley Junior-Senior High School	1076 Banks Lowman Road	Garden Valley	 ID 83622			
Gem State Adventist Academy	16115 S Montana Ave		Caldwell	 ID 83607		
Genesee JR-SR High School	330 W. Ash Street	P.O. Box 98				
Glenns Ferry High School	639 N. Bannock		Glenns Ferry	 ID 83623		
Gooding Accelerated Learning Center	906 Main St	Gooding	 ID 83330			
Gooding High School	1050 7th Avenue West	Gooding	 ID 83330			
Grace Junior/Senior High School	704 South Main Street	Grace	 ID 83241			
Grangeville High School	910 South D Street	Grangeville	 ID 83530			
Greenleaf Friends Academy	P.O. Box 368	20565 N. Academy Road				
Hagerman Jr./Sr. High School	150 Lake Street	W. Hagerman	 ID 83332			
Hansen Jr-Sr High School	550 S Main St	Hansen	 ID 83334			
Heartland High School (Alternative)	120 Idaho Street	McCall	 ID 83638			
Highland Senior High School	1800 Bench Road	Pocatello	 ID 83201			
Hillcrest High School	2800 Owen Street	Idaho Falls	 ID 83406			
Homedale High School	203 East Idaho Avenue	Homedale	 ID 83628			
Hope Christian Academy	11461 Lone Star Road	Nampa	 ID 83651			
Horseshoe Bend High School	398 School Drive	Horseshoe Bend	 ID 83629			
Idaho City High School	100 Centerville Road		P.O. Box 227			
Idaho Falls High School	601 S. Holmes Ave.	Idaho Falls	 ID 83401			
Idaho School for the Deaf and Blind	1450 Main Street	Gooding	 ID 83330			
Idaho Virtual High Charter School	1993 E 8th N Suite 105	Mountain Home	 ID 83647			
Independence Alternate High School	155 East Francis Street	Blackfoot	 ID 83221			
Jefferson High School	529 N 3470 E	Menan	 ID 83434			
Jerome High School	104 North Tiger Drive	Jerome	 ID 83338			
Kamiah High School	711 Ninth Street	Kamiah	 ID 83536			
Kellogg High School	2 Jacobs Gulch Road	Kellogg	 ID 83837			
Kendrick Jr-Sr High School	2001 Highway 3	Kendrick	 ID 83537			
Kimberly High School	241 Center Street West	Kimberly	 ID 83341			
Kootenai Academy	2301 N Ironwood Pl	Coeur D'alene	 ID 83814			
Kootenai Junior-Senior High School	13030 East O'Gara Road	Harrison	 ID 83833			
Kuna High School	1360 West Boise Street	Kuna	 ID 83634			
Lake City High School	6101 Ramsey Road	Coeur D Alene	 ID 83815			
Lake Pend Oreille Alternative High School	1005 North Boyer Avenue	Sandpoint	 ID 83864			
Lakeland Senior High School	684 Highway 53	Rathdrum	 ID 83858			
Lakeside High School	1150 E Street	Plummer	 ID 83851			
Lapwai Junior-Senior High School	404 South Main	Lapwai	 ID 83540			
Leadore School	111 South 3rd Street	Leadore	 ID 83464			
Lewiston Senior High School	1114 9th Avenue	Lewiston	 ID 83501			
Lighthouse Christian School	259 Main Ave. East	Twin Falls	 Iadaho 83301			
Lincoln High School	3175 East Lincoln Road	Idaho Falls	 ID 83401			
Lost River Alternative High	426 West Grand Ave	Arco	 ID 83213			
Mackay Jr-sr High School	400 E Spruce St	Mackay	 ID 83251			
Madison Junior High School	60 West Main Street	Rexburg	 ID 83440			
Madison Senior High School	134 Madison Avenue	Rexburg	 ID 83440			
Magic Valley Christian School	500 South Lincoln Ave.		Jerome	 ID 83338		
Magic Valley High School	512 main N		Twin Falls	 ID 83301		
Malad Senior High School	181 Jenkins Avenue	Malad City	 ID 83252			
Maranatha Christian School	12000 W Fairview Ave	Boise	 ID 83713			
Marian Pritchett High School	also known as Booth Memorial School	1617 N 24th St				
Marsh Valley High School	12655 South Old Highway 91	Arimo	 ID 83214			
Marsing High School	PO Box 340	Marsing	 ID 83639			
McCall-Donnelly High School	401 N. Mission Street	McCall	 ID 83638			
Melba Middle/High School	6870 Stokes Lane	Melba	 ID 83641			
Meridian Academy High School	6075 N. Locust Grove	Meridian	 ID 83642			
Meridian Charter High School	3800 North Locust Grove Road	Meridian	 ID 83642			
Meridian High School	1900 West Pine Avenue	Meridian	 ID 83642			
Meridian Medical Arts Charter High School	1789 E Leighfield Dr.	Meridian	 Idaho 83642			
Meridian Night School (alt)	12400 W Mcmillan Road	Boise	 ID 83713			
Middleton High School	511 West Main Street	Middleton	 ID 83644			
Midvale Junior-Senior High School	56 North School Road	Midvale	 ID 83645			
Mini-Cassia Opp. Center	123 S C	Rupert	 ID 83350			
Minico Senior High School	300 West Highway 25	Rupert	 ID 83350			
Minico Senior High School	300 West Highway 25	Rupert	 ID 83350			
Moscow Alternative High School	402 East 5th Street	Moscow	 ID 83843			
Mountain Cove (Alt.) High School	911 Mountain Cove Road	Boise	 ID 83702			
Mountain Home High School	300 South 11th East	Mountain Home	 ID 83647			
Mountain View High School	2000 S. Millenium Way	Meridian	 ID 83642			
Mountainview Alternative High School	7802 W Main St	Rathdrum	 ID 83858			
Mullan Jr/Sr High School	P.O. Box 71	Mullan	 ID 83846			
Murtaugh High School	500 West Boyd Street	Murtaugh	 ID 83344			
Nampa High	203 Lake Lowell Ave	Nampa	 ID 83686			
New Horizons High School (Alternative)	10714 North Fairgrounds Rd	Pocatello	 ID 83201			
New Plymouth High School	207 South Plymouth Avenue	New Plymouth	 ID 83655			
New Visions Alternative School	201 West Mullan	Post Falls	 ID 83854			
Nezperce Junior-Senior High School	615 2nd Avenue	Nezperce	 ID 83543			
North Fremont High School	3581 East 1300 North	Ashton	 Idaho 83420			
North Gem Junior-Senior High School	322 South Main Street	Bancroft	 ID 83217			
North Idaho Christian School	251 West Miles Avenue	Hayden Lake	 ID 83835			
Notus Junior-Senior High School	25260 Notus Road	Notus	 ID 83656			
Oakley Junior-Senior High School	455 West Main	Oakley	 ID 83346			
Oneida High School	175 Jenkins Ave	Malad	 ID 83252			
Paradise Creek Regional High School	1314 South Main Street	Moscow	 ID 83843-4227			
Parma High School	908 North 8th Street	Parma	 ID 83660			
Payette High School	1215 Center Avenue	Payette	 ID 83661			
Pocatello High School	325 N. Arthur	Pocatello	 ID 83201			
Pocatello Teen Parenting Program	108 Von Elm Lane	Pocatello	 ID 83201			
Post Falls Christian Academy	1687 E. Horsehaven Avenue	Post Falls	 ID 83854			
Post Falls High School	2832 East Poleline Road	Post Falls	 ID 83854			
Potlatch Junior-Senior High School	Highway 6	Potlatch	 ID 83855			
Prairie High School	Keuterville Road	Cottonwood	 ID 83522			
Preston High School	151 East 2nd South	Preston	 ID 83263			
Priest River Lamanna High School	Highway 57	Priest River	 ID 83856			
Project CDA Alternative High School	725 Hazel Avenue	Coeur d'Alene	 ID 83814			
Raft River Junior-Senior High School	100 West 55 N Trojan Drive	Malta	 ID 83342			
Renaissance Charter School	1029 South Meadows	Moscow	 ID 83843			
Richard Mckenna Charter High School	1993 E. 8th North	Mountain Home	 ID 83647			
Ridgecrest (Job Core)	3201 Ridgecrest Drive	Nampa	 ID 83651			
Rigby High School	125 North 1st West Street	Rigby	 ID 83442			
Rimrock Jr. Sr. High School	39678 State Hwy 78	Bruneau	 Idaho 83604			
Ririe High School	260 First West Street	Ririe	 ID 83443			
Riverside High School Alt	7128 Kootenai Street	Bonners Ferry	 ID 83805			
Riverstone Community School	5493 Warm Springs Ave.		Boise	 ID 83716		
Rockland Public School	321 East Center Street	Rockland	 ID 83271			
Rocky Mountain Academy	Route 1 Box 511	Bonners Ferry	 ID 83805			
Salmon High School	PO Box 790	Salmon	 ID 83467			
Salmon River High School	PO Box 872	Riggins	 ID 83549			
Sandpoint High School	410 South Division Street	Sandpoint	 ID 83864			
Sandpoint Junior Academy	2255 W Pine St.	Sandpoint	 ID 83864			
Sandpoint Waldorf School	P.O. Box 95		Sandpoint	 ID 83864		
Shelley Senior High School	570 West Fir Street	Shelley	 ID 83274			
Sheridan Academy	820 S Latah Street		Boise	 ID 83705		
Shiloh Christian School	1400 N 3rd E	Mountain Home	 ID 83647			
Shoshone Jr/Sr High School	61 East Highway 24	Shoshone	 Idaho 83352			
Silver Creek Alternative School	619 3rd Ave South	Hailey	 ID 83333			
Silver Valley Alternative School	114 1/2 McKinley Ave	Kellogg	 ID 83837			
Skyline High School	1767 Blue Sky Drive	Idaho Falls	 Idaho 83403			
Skyview High School	1303 East Greenhurst Road	Nampa	 ID 83686			
Snake River High School	922 West Highway 39	Blackfoot	 ID 83221			
Soda Springs High School	300 East 1st North	Soda Springs	 ID 83276			
South Fremont High School	855 N. Bridge Street	St. Anthony	 Idaho 83445			
St. Maries High School	424 Hells Gulch Road	St Maries	 ID 83861			
Sugar-Salem High School	#1 Digger Drive	Sugar City	 ID 83448			
Tammany Alternative Learning Center	6800 Tammany Creek Road	Lewiston	 ID 83501			
Telford Academy (Alternative)	2017 East 49th North	Idaho Falls	 ID 83401			
Teton High School	555 Ross Avenue	Driggs	 ID 83422			
Timberlake Senior High School	P.O. Box 909	5303 HWY 54				
Timberline High School	701 E. Boise Ave.	Boise	 ID 83706			
Timberline Junior/Senior High School	1150 Highway 11	Weippe	 ID 83553			
Troy Junior-Senior High School	337 Big Meadow Road	Troy	 ID 83871			
Twin Falls Christian Aceademy	798 Eastland Drive North	Twin Falls	 Id 83301			
Twin Falls High School	1615 Filer Avenue East	Twin Falls	 ID 83301			
Eagles Wings Urban Academy	2447 West Granville Ave.	Chicago	 IL 60659-2820			
Earlville High School	415 W Union St	Earlville	 IL 60518			
East Alton-Wood River High School	777 N Wood River Ave	Wood River	 IL 62095			
East Dubuque High School	200 Parklane Dr	East Dubuque	 IL 61025			
East High School	500 Tomcat Lane	Aurora	 IL 60505			
East Leyden High School	3400 Rose Street	Franklin Park	 IL 60131			
East Peoria High School	1401 E Washington St	East Peoria	 IL 61611			
East Richland High School	1200 E Laurel	Olney	 IL 62450			
East St Louis Senior High School	4901 State St	East St Louis	 IL 62205			
EastLand High School	500 South School Drive	Lanark	 IL 60146			
Edinburg High School	100 Martin Street		Edinburg	 IL 62531		
Edwards County High School	361 West Main St.		Albion	 IL 62806		
Edwardsville High School	6161 Center Grove Road		Edwardsville	 IL 62025		
Effingham High School	1301 W Grove Ave	Effingham	 IL 62401			
Egyptian Sr High School	20023 Diswood Rd	Tamms	 IL 62988			
Eisenhower High School	1200 S 16th St	Decatur	 IL 62521			
El Paso High School	600 N Elm St	El Paso	 IL 61738			
El Vista Baptist Academy	6301 North Syler Street	Peoria	 Illinois 61615			
Eldorado High School	2200 Illinois Ave	Eldorado	 IL 62930			
Elgin Academy	350 Park Street	Elgin	 IL 60120			
Elgin High School	1200 Maroon Dr	Elgin	 IL 60120			
Elk Grove High School	500 W Elk Grove Blvd	Elk Grove Village	 IL 60007			
Elmo Senior High School	300 W. 12th Street	St. Elmo	 IL 62458			
Elmwood High School	301 W Butternut	Elmwood	 IL 61529			
Elmwood Park High School	8201 W Fullerton Ave	Elmwood Park	 IL 60707			
Elverado High School	P.O. Box 217	Elkville	 IL 62932			
Englewood High School	6201 S Stewart Av	Chicago	 IL 60621			
Entrepreneurshp High School	7627 S Constance Ave	Chicago	 IL 60649			
Equality Christian Center School	Po Box 280	519 Mchenry St				
Erie High School	435 6th Ave	Erie	 IL 61250			
Esperanza School	520 North Marshfield Avenue	Chicago	 IL 60622			
Eureka High School	200 W Cruger Ave	Eureka	 IL 61530			
Evanston Township High School	1600 Dodge Ave	Evanston	 IL 60204			
Evergreen Park High School	9901 S Kedzie Ave	Evergreen Park	 IL 60805			
Ezra Christian School	1345 Ezra St	West Frankfort	 IL 62896			
Fairfield Community High School	300 W King St	Fairfield	 IL 62837			
Faith Baptist Christian School	1501 Howard Ct.	Pekin	 Illinois 61554			
Faith Christian School	7571 S Ridge Rd	Dixon	 IL 61021			
Faith Christian School	Po Box 306	460 State Rt				
Farmington Central High School	310 N Lightfoot Rd	Farmington	 IL 61531			
Farmington High School	568 E Vernon St	Farmington	 IL 61531			
Fasman Yeshina High School	7135 Carpenter Rd	Skokie	 IL 60077			
Fenton High School	1000 W Green St	Bensenville	 IL 60106			
Fenwick High School	505 Washington Blvd	Oak Park	 IL 60302			
Fieldcrest High School	1 Dornbush Drive	Minonk	 IL 61760			
First Baptist Christian Academy	114 Maple St	Pana	 IL 62557			
First Baptist Christian School	1211 N Vermilion St	Danville	 IL 61832			
Fisher Jr-sr High School	211 West Div. St.	Po Box 670				
Flanagan High School	PO Box 367	Flanagan	 IL 61740			
Flora High School	600 S Locust St	Flora	 IL 62839			
Ida Crown Jewish Academy	2828 W Pratt	Chicago	 IL 60645			
Idoc-healy South High School	8007 S Cottage Grove Ave	Chicago	 IL 60619			
Illiana Christian High School	2261 Indiana Ave		Lansing	 IL 60438		
Illini Bluffs High School	PO Box 320	Glasford	 IL 61533			
Illini Central High School	208 N West Ave.	Mason City	 IL 62664			
Illinois Center for Autism	548 S Ruby Lane	Fairview Heights	 IL 62208			
Illinois Luth High School	1610 Main St.	Crete	 IL 60417			
Illinois Mathematics & Science Academy	1500 W Sullivan Rd	Aurora	 IL 60506			
Illinois School for the Deaf	125 S Webster St	Jacksonville	 IL 62650			
Illinois School for the Visually Impaired	658 E State St	Jacksonville	 IL 62650			
Immaculate Conception High School	217 Cottage Hill Ave	Elmhurst	 IL 60126			
Immanuel Lutheran School	832 Lee St.	Des Plaines	 IL 60016			
Indian Creek High School	506 Shabbona Rd	Shabbona	 IL 60550			
Indian Creek High School	1322 N Eola Rd	Aurora	 IL 60504			
Indian Plains Alternative High School	1322 N. Eola Road	Aurora	 IL 60504			
Infinity Cluster High School of Chicago-South	7831 S. Lawndale Ave	Chicago	 IL 60652			
Iroquois Community	109 South Second Street	Watseka	 Illinois 60970			
Iroquois West High School	PO Box 67	Gilman	 IL 60938			
Islamic Foundation School	300 West Highridge Road	Villa Park	 IL 60181			
IVC High School	1300 W. Sycamore	Chillicothe	 IL 61523			
Iyc Chicago High School	136 N Western Ave	Chicago	 IL 60612			
J Sterling Morton East High School	2423 S Austin Blvd	Cicero	 IL 60804			
Jacksonville High School	1211 North Diamond Street	Jacksonville	 IL 62650			
Jamaica High School	7087 N 600 East Rd	Sidell	 IL 61876			
James B. Conant High School	700 E Cougar Trl	Hoffman Estates	 IL 60169			
Jane Addams High School	1814 S Union Ave.	Chicago	 IL 60616			
Jeanine Schultz Memorial School	2101 Oakton Street	Park Ridge	 IL 60068			
Jefferson High School	4145 Samuelson Rd	Rockford	 IL 61109			
Jersey Community High School	801 N State St	Jerseyville	 IL 62052			
John F. Kennedy High School	6325 West 56th Street	Chicago	 IL 60638			
John Hersey High School	1900 E Thomas Ave	Arlington Heights	 IL 60004			
John Hope College Prep High School	5515 South Lowe Avenue		Chicago	 IL 60621		
John Marshall Metro High School	3250 West Adams Street	Chicago	 IL 60624			
Johnsburg High School	2002 W Ringwood Rd	Johnsburg	 IL 60050			
Johnston City High School	1500 Jefferson Ave	Johnston City	 IL 62951			
Joliet Catholic Academy	1200 North Larkin Avenue	Joliet	 IL 60435			
Joliet Central High School	201 E Jefferson St	Joliet	 IL 60432			
Joliet Township High School Alternate	110 Collins St	Joliet	 IL 60432			
Joliet West High School	401 N Larkin Ave	Joliet	 IL 60435			
Jones College Prep High School	606 South State Street		Chicago	 IL 60605		
Joppa Jr  & Sr High School	911 Joppa North Ave	Joppa	 IL 62953			
Josephinum High School	1501 North Oakley Blvd	Chicago	 IL 60622			
Judah Christian School	908 N Prospect Ave	Champaign	 IL 61820			
Kaneland Senior High School	47w326 Keslinger Rd	Maple Park	 IL 60151			
Kankakee High School	1200 W Jeffery St	Kankakee	 IL 60901			
Kankakee Trinity Academy	410 S. Small	Kankakee	 IL 60901			
Kansas High School	310 S Front St	Kansas	 IL 61933			
Keith School	1 Jacoby Place		Rockford	 IL 61107		
Kelvyn Park High School	4343 West Wrightwood Avenue		Chicago	 IL 60639		
Kenwood Academy High School	5015 South Blackstone Avenue		Chicago	 IL 60615		
Macarthur High School	1155 North Fairview Avenue	Decatur	 IL 62522			
Macomb Senior High School	1525 S Johnson Rd	Macomb	 IL 61455			
Mahomet-Seymour High School	302 State Street	Mahomet	 IL 61853			
Maine East High School	2601 Dempster St	Park Ridge	 IL 60068			
Maine South High School	1111 S Dee Rd	Park Ridge	 IL 60068			
Maine West High School	1755 S Wolf Rd	Des Plaines	 IL 60018			
