High School	 StreetAddress	 City	 State	 Zip		
Robertsdale High School	1 Golden Bear Drive	Robertsdale	 AL 36567			
Russell County High	4699 Old Seale Highway	Seale	 AL 36875-9228			
Russellville High School	1865 Waterloo Rd	Russellville	 AL 35653			
Saks High	4401 Saks Rd.	Anniston	 AL 36206			
Samson High School	209 N. Broad Street	Samson	 AL 36477			
Sand Rock School	1950 Sand Rock Ave	Sand Rock	 AL 35983			
Sardis High School	1420 Church St	Sardis City	 AL 35956			
Satsuma High School	One Gator Circle	Satsuma	 AL 36572			
Scottsboro High School	25053 John T. Reid Parkway 	Scottsboro	 AL 35768			
Selma High School	2180 Broad St	Selma	 AL 36701			
SEQUOYAH SCHOOL - CHALKVILLE CAMPUS	RT 2 OLD SPRINGVILLE RD	PINSON	 AL 36126			
Shades Valley High School	6100 Old Leeds Road	Birmingham	 AL 35210			
Shades Valley Technical Academies	5191 Pine Whispers Drive	Birmingham	 AL 35210			
Shaw High School	5960 Arlberg Street	Mobile	 AL 36608			
Sheffield High School	300 W. 6th St.	Sheffield	 AL 35660			
Shelby County High School	101 Washington Street	Columbiana	 Alabama 35051			
SHELBY COUNTY INSTRUCTIONAL SERVICES CENTER-CAREER	601 1ST ST S	ALABASTER	 AL 35007			
Shelby County School of Technologies	701 Highway 70	COLUMBIANA	 AL 35051			
Slocomb High School	591 S County Road 9	Slocomb	 AL 36375			
Smiths Station High School	1100 Lee Road 298	Smiths Station	 AL 36877			
South Baldwin Center for Technology	19200 Carolina Street	Robertsdale	 AL 36567			
Southern Choctaw High School	130 INDIAN WAY	SILAS	 AL 36919			
Southside High School	2361 School Drive	Southside	 AL 35907			
Spanish Fort High School	1 Plaza de Toros	Spanish Fort	 AL 36527			
Sparkman High School	2616 Jeff Rd	Harvest	 AL 35749			
Spring Garden High School	2430 County Road 29	PO Box 31				
Springville High School	8295 U.S. Highway 11	Springville	 AL 35146			
SR Butler High School	3401 Holmes Ave NW	Huntsville	 AL 35816			
St Clair County High School	100 1ST AVE	ODENVILLE	 AL 35120			
Stanhope Elmore High School	4300 Main Street	Millbrook	 AL 36054			
Straughn High School	29448 Straughn School Road	Andalusia	 AL 36420			
Sumter County High School	902 4th Ave.	York	 AL 36925			
Susan Moore High School	4040 Susan Moore Rd	Blountsville	 AL 35031			
Sylacauga High School	701 N Broadway Ave	Sylacauga	 AL 35150			
TALLADEGA COUNTY CENTRAL HIGH	5104 HOWELL COVE RD	TALLADEGA	 AL 35160			
TALLADEGA HIGH SCHOOL	1177 MCMILLIAN ST	TALLADEGA	 AL 35160			
TALLAPOOSA AREA VOCATIONAL TRAINING	225 HEARD BLVD	ALEXANDER CITY	 AL 35010			
Tallassee High School	502 Barnett Blvd	Tallassee	 AL 36078			
Tarrant Education Center	1318 ALABAMA ST	TARRANT	 AL 35217			
Tarrant High School	91 Black Creek Road 	Tarrant	 Alabama -			
TENNESSEE VALLEY LEARNING CENTER	17101 COUNTY ROAD 400	HILLSBORO	 AL 35643			
The Altamont School	Po Box 131429	Birmingham	 AL 35213			
THE PHOENIX PROGRAM	1207 ARLINGTON ST	MOBILE	 AL 36605			
Theodore High School	6201 Swedetown Road	Theodore	 AL 36582			
Thomasville High School	777 Gates Drive	Thomasville	 Alabama 36784			
Thompson High School	100 Warrior Dr	Alabaster	 AL 35007			
TL FAULKNER SCHOOL	33 WEST ELM ST	PRICHARD	 AL 36610			
TOM ORR AREA VOCATIONAL SCHOOL	107 TOM ORR DR	BUTLER	 AL 36904			
TR Miller High School	1835 Douglas Ave	Brewton	 AL 36426			
TROY-PIKE REGIONAL CENTER FOR TECHNOLOGY	285 GIBBS ST	TROY	 AL 36081			
TUSC REGIONAL DETENTION CTR	6001 12TH AVENUE EAST	TUSCALOOSA	 AL 35405			
Tuscaloosa Center-Technology	1300 37th St E	Tuscaloosa	 AL 35405			
Tuscaloosa County High School	12500 Wildcat Drive	Northport	 AL 35475			
Valley High School	501 US Highway 29	Valley	 AL 36854			
Vestavia Hills High School	2235 Lime Rock Rd	Vestavia Hills	 AL 35216			
Vigor High School	913 N. Wilson Ave.	Prichard	 AL 36610			
Vinemont High School	P.O. Box 189 	Vinemont	 AL 35179			
Virgil Grissom High School	7901 Bailey Cove Rd	Huntsville	 AL 35802			
W A Lecroy Career / Technical Center	2829 4th Avenue North	Clanton	 AL 35045			
W S Neal High School	801 Andrew Jackson Street	East Brewton	 Alabama 36426			
Walker County Center of Technology	1100 Viking Drive	Jasper	 Alabama 35501			
Walker High School	1601 Highland Ave	Jasper	 AL 35501			
Weaver High School	917 Clarimont Dr.	Weaver	 AL 36277			
Wellborn High School	135 Pinson Rd.	Anniston	 AL 36201			
Wenonah High School	2916 Wilson Rd	Birmingham	 AL 35221			
West Blocton High School	4734 Truman Aldrich Parkway	West Blocton	 AL 35184			
West End High School	4515 Elm Street	Walnut Grove	 Al 35990			
West Morgan High School	261 South Greenway Drive	Trinity	 AL 35673			
West Point High School	4314 County Road 1141	Cullman	 AL 35057			
White Plains High School	250 White Plains Rd.	Anniston	 AL 36207			
Wilcox Central High School	1310 T L Threadgill Rd	Camden	 AL 36726			
Williamson High School	1567 E. Dublin Street 	Mobile	 AL 36605			
Winfield City High School	232 Pirate Cove	Winfield	 Alabama 35594			
Winston County High School	1122 County Road 24	Double Springs	 AL 35553			
Woodlawn High School-Magnet	5620 1st Ave N	Birmingham	 AL 35212			
Cantwell School	Box 29	29 Main St				
Career Education Center	Fairbanks North Star Borough School District	725 26th Ave.				
Chaputnguak School	PO Box 50	102 Village Road				
Chenega Bay School	PO Box 8030	Main Street				
Chevak School	PO Box 345	PO Box 345 985 KSD Way				
Chief Ivan Blunka School	P O Box 29	29 Old Airport Way				
Chief Paul Memorial School	PO Box 19	105 Village Road				
Chignik Bay School	School Road	Chignik Bay	 AK 99564			
Chignik Lagoon School	School Road	Chignik Lagoon	 AK 99565			
Chignik Lake School	School Road	General Delievery				
Chugiak High School	16525 S. Birchwood Loop Road	Chugiak	 Alaska 99567			
Cold Bay School	401 Airport Way	PO Box 128				
Colony High School	9550 Colony School Drive	Palmer	 AK 99645			
Cordova High School	Box 140	100 Fisherman Ave				
Craig High School	P.O. Box 800	100 Panther Way				
Crow Village Sam School	PO Box CHU	Chuathbaluk	 AK 99557			
David-Louis Memorial School	Box 90	90 School Street				
Deering School	PO Box 36009	36 Main St				
Delta Cyber School	2610 Isabell Avenue	PO Box 369				
Delta High School	PO Box 647	2610 Isabell Avenue				
Dillingham Middle/High School	565 Seward Street	PO Box 170				
Dimond High School	2909 W 88TH Ave.	Anchorage	 Alaska 99502.			
Diomede School	Main Street	PO Box 7099				
Dot Lake School	Mp 1361 Ak Hwy	PO Box 2280				
Eagle Community School	Box 168		168 3rd Avenue			
Eagle River High School	8701 Yosemite Drive	Eagle River	 Alaska 99577			
East High School	4025 E. Northern Lights Blvd	Anchorage	 AK 99508			
Egegik School	PO Box 10	400 School Road				
Emmonak School	General Delivery	Emmonak	 AK 99581			
Fairbanks Youth Facility	1502 Wilbur Street	Fairbanks	 AK 99701			
False Pass School	300 Valley Road	PO Box 30				
Far North School	49 Far North Street	Central	 AK 99730			
Fort Yukon School	PO Box 129	255 Main Street				
Frank A. Degnan High School	PO Box 130	Unalakleet	 AK 99684			
Frontier Charter Schools	400 W. Northern Lights Blvd.	 Suite 9	Anchorage	 AK 99503		
Gambell School	169 Main Street	PO Box 169				
George H. Gilson Junior High School	P.O. Box 398	357 Robe River Drive				
George Morgan Junior/Senior High School	PO Box 30	Kalskag	 AK 99607			
George Willis School	Red Devil #29	Red Devil	 AK 99656			
Glacier View School	HC 03 Box 8485 B	21970 West Glenn Highway				
Gladys Dart School	PO Box 29	Elliott Hwy 162				
Glennallen Jr/Sr High School	Box 108	1976 Aurora Dr				
Grace Christian School	12407 Pintail Street	Anchorage	 AK 99516			
Gustavus School	Box 120	Gustavus #120				
Gusty Michael School	General Delivery	Stony River	 AK 99557			
Haines High School	Box 1289	604 Haines Highway				
Harold Kaveolook School	Box 20	2001 Barter Ave.				
Healy Lake School	Healy Lake Village	Delta Junction	 AK 99737			
Highland Tech High School	5530 E. Northern Lights Blvd	 #1	Anchorage	 Alaska 99504		
Hogarth Kingeekuk Sr. Memorial	Po Box 200	200 Main Street				
Hollis School	PO Box 803	Tract 4A of ASLS 96-31				
Homer Flex School	4122 Ben Walters Lane	Homer	 AK 99603			
Homer High School	600 E. Fairview Ave	Homer	 Alaska 99603			
Hoonah Junior/Senior High School	366 Garteeni Highway	PO Box 157				
Hooper Bay School	General Delivery	Hooper Bay	 AK 99604			
Hope School	PO Box 47	64782 Nearhouse Lane				
Houston High School	PO Box 940315	12501 W Hawk Rd				
Howard Valentine School	Box 18002	614 Howard Valentine Dr.				
Hutchison High School	3750 Geist Road	Fairbanks	 Alaska 99709			
Hydaburg Jr/Sr High School	Box 109	100 Totem Pole Lane				
Igiugig High School	PO Box 4010	500 School Road				
Ignatius Beans School	PO Box 32105	Mountain Village School				
Innoko River School	P.O. Box 53	90 Chinana Avenue				
Interior Distance Education of Alaska (IDEA)	2157 VanHorn Rd	Fairbanks	 AK 99701			
Jack Egnaty Sr. School	PO Box 69	Sleetmute	 AK 99668			
James C. Isabell School	100 Airport Avenue	Teller	 AK 99778			
Jimmy Huntington School	PO Box 110	Huslia School Blvd				
Joann A. Alexie Memorial School	PO Box ATT	101 Village Road				
John Apangalook Memorial High School	169 Gravel Blvd.	Gambell	 AK 99742			
John Fredson School	PO Box 39	360 Chandalar Drive				
Johnnie John Senior School	PO Box 20	Crooked Creek				
Juneau HomeBRIDGE	10014 Crazy Horse Dr	Marie Drake	 Room 228	 1415 Glacier Avenue		
Juneau-Douglas High School	10014 Crazy Horse Dr	1639 Glacier Avenue				
Kachemak Selo School	PO Box 15007	44032 Milton Rd				
Kake High School	PO Box 450	175 Library Place				
Kali School	PO Box 59077	1029 Qasigialik St				
Kaltag School	PO Box 30	Main Street				
Karluk School	General Delivery	Main Street				
Kenai Alternative High School	705 Frontage Road #C	Kenai	 AK 99611			
Kenai Central High School	9583 Kenai Spur Hwy.	Kenai	 AK 99611			
Kenny Lake School	HC 60 Box 224	Copper Center	 AK 99573			
Ket'acik/Aapalluk Memorial School	PO Box 150	106 River Rd				
Ketchikan High School	333 Schoenbar Rd	2610 4th Ave				
Kiana School	PO Box 190	190 Casanoff St				
Kiita Learning Community	P O Box 169	5246 Karluk Street				
King Career Center	2650 E Northern Lights Blvd.	Anchorage	 AK 99508			
King Cove School	PO Box 69	100 Slocum Drive				
Kingikmiut School	P.O. Box 490	Wales	 Alaska 99783			
Klawock School	PO Box 9	100 Bayview Blvd				
Klukwan School	HCO 60 Box 2222	Mile 22 Haines Highway				
Kobuk School	PO Box 40	101 Mushers Way				
Kodiak Christian School	3300 Rezanof Drive	Kodiak	 Alaska 99615			
Kodiak High School	722 Mill Bay Road	Kodiak	 AK 99615			
Kokhanok School	General Delivery	School Road				
Koliganek School	PO Box 5052	574 Kenny Wren Road				
Manokotak School	PO Box 30	130 Heights Road				
Marathon School	405 Marathon Road	Kenai	 AK 99611			
Marshall School	Fortuna Ledge PO Box 89	89 School Road				
Martin L. Olson School	PO Box 62040	40 Main Street				
Mat-Su Career  & Tech Ed High School	2472 North Seward Meridian Parkway	Wasilla	 AK 99654			
Mat-Su Central School	600 E Railroad Ave	 Suite 6	Wasilla	 AK 99654		
Mat-Su Day School	3901 E Bogard Road	Wasilla	 AK 99654			
Mat-Su Secondary School	581 Outer Springer Loop	PALMER	 AK 99645			
Maudrey J Sommer School	PO Box 89	89 Front Street				
McGrath School	90 Takotna Avenue	Box 290				
McLaughlin Secondary School	2600 Providence Drive	Anchorage	 AK 99508			
McQueen School	General Delivery	#6 Oceanside Expressway				
Meade River School	Box 91030	4001 Kippi St				
Mentasta Lake School	Box 6039	6 mile Main Village Road				
Merreline A Kangas School	PO Box 68110	1st  & Hilltop				
Meshik School	General Delivery	School Road				
Metlakatla High School	PO Box 7	4th  & Milton Street				
Minto School	PO Box 81	Laker One St				
Monroe Catholic High School	615 Monroe Street	Fairbanks	 AK 99701			
Mt. Edgecumbe High School	1330 Seward Avenue	Sitka	 AK 99835			
Nanwalek School	PO Box 8007	63550 Alexandrovsky St				
Napaaqtugmiut School	PO Box 49	#2 Airport Road				
Naukati School	Box NKI	100 Heather Street				
Nelson Island Area Schools	General Delivery	Toksook Bay	 AK 99637			
Nelson Lagoon School	154 Bering Way	Box 919				
Nenana City School	Box 10	2nd  & C Street				
New Horizons High School	PO Box 369	2610 Isabel Ave				
Newhalen School	General Delivery	School Road				
Nightmute School	General Delivery	Nightmute	 AK 99690			
Nikiski Middle-High School	PO Box 7112	52275 Education Dr				
Nikolaevsk Elementary/High School	Box 5129	65524 Nikolaevsk				
Nikolski School	General Delivery	Nikolski	 AK 99638			
Ninilchik School	Box 39010	15735 Sterling Hwy				
Nome Beltz Jr/Sr High School	PO Box 131	Mile 3.5 Nome-Teller Highway				
Nome Correspondence	P.O. Box 131	Nome	 AK 99762			
Nondalton School	100 School Road	Nondalton	 AK 99640			
Noorvik School	PO Box 165	165 Fireweed Dr				
North Pole High School	601 NPHS Blvd	North Pole	 AK 99705			
North Star Hostital	1650 So. Bragaw	Anchorage	 AK 99508			
Nuiqsut Trapper School	PO Box 167	3310 3rd Ave				
Nunamiut School	PO Box 21029	114 Illinois St				
Nuniwarmiut School	PO Box 49	109 Village Road				
Old Harbor School	PO Box 49	Main Street				
Ouzinkie School	PO Box 49	Main Street				
