High School Name,Code,State
SAINT JOSEPH NOTRE DAME HIGH SCHOOL,50020,CA
ALBANY HIGH SCHOOL,50035,CA
ALHAMBRA HIGH SCHOOL,50050,CA
MARK KEPPEL HIGH SCHOOL,50055,CA
RAMONA CONVENT SECONDARY SCHOOL,50060,CA
MERCED SCHOLARS CHARTER SCHOOL,50067,CA
SOUTH TAHOE HIGH SCHOOL,50075,CA
FAITH CHRISTIAN ACADEMY,50076,CA
ALTA LOMA HIGH SCHOOL,50077,CA
MODOC HIGH SCHOOL,50080,CA
KATELLA HIGH SCHOOL,50081,CA
CORNELIA CONNELLY SCHOOL,50082,CA
MAGNOLIA HIGH SCHOOL,50083,CA
LOARA HIGH SCHOOL,50084,CA
SAVANNA HIGH SCHOOL,50087,CA
SERVITE HIGH SCHOOL,50088,CA
ANAHEIM HIGH SCHOOL,50090,CA
WESTERN HIGH SCHOOL,50092,CA
ESPERANZA HIGH SCHOOL,50093,CA
ANDERSON UNION HIGH SCHOOL,50095,CA
BRET HARTE UNION HIGH SCHOOL,50100,CA
FAIRMONT PREPARATORY ACADEMY,50103,CA
PACIFIC UNION COLLEGE PREPARATORY SCHOOL,50105,CA
HAMILTON HIGH SCHOOL,50108,CA
DEER VALLEY HIGH SCHOOL,50109,CA
ANTIOCH HIGH SCHOOL,50115,CA
APPLE VALLEY HIGH SCHOOL,50118,CA
APTOS HIGH SCHOOL,50119,CA
PIERCE HIGH SCHOOL,50120,CA
ACADEMY FOR ACADEMIC EXCELLENCE,50126,CA
ARCADIA HIGH SCHOOL,50130,CA
GRANITE HILLS HIGH SCHOOL,50134,CA
ARCATA HIGH SCHOOL,50135,CA
LA SIERRA ACADEMY,50140,CA
ANTELOPE VIEW HOME CHARTER SCHOOL,50141,CA
ARLETA CAL-SAFE,50149,CA
ARROYO GRANDE HIGH SCHOOL,50150,CA
ANDERSON NEW TECHNOLOGY HIGH SCHOOL,50151,CA
ARTESIA HIGH SCHOOL,50155,CA
VALLEY CHRISTIAN HIGH SCHOOL,50157,CA
ARVIN HIGH SCHOOL,50160,CA
ATASCADERO HIGH SCHOOL,50165,CA
NORTH COUNTY CHRISTIAN SCHOOL,50166,CA
DEL RIO CONTINUATION HIGH SCHOOL,50168,CA
MENLO ATHERTON HIGH SCHOOL,50170,CA
ATWATER HIGH SCHOOL,50172,CA
FOREST LAKE CHRISTIAN SCHOOL,50173,CA
PLACER HIGH SCHOOL,50175,CA
BUHACH COLONY HIGH SCHOOL,50181,CA
AVENAL HIGH SCHOOL,50185,CA
AZUSA HIGH SCHOOL,50188,CA
GLADSTONE HIGH SCHOOL,50190,CA
LIBERTY HIGH SCHOOL,50196,CA
RIDGEVIEW HIGH SCHOOL,50202,CA
BAKERSFIELD ADVENTIST ACADEMY,50203,CA
BAKERSFIELD HIGH SCHOOL,50205,CA
BAKERSFIELD CHRISTIAN HIGH SCHOOL,50208,CA
CENTENNIAL HIGH SCHOOL,50209,CA
EASK BAKERSFIELD HIGH SCHOOL,50210,CA
FOOTHILL HIGH SCHOOL,50213,CA
GARCES MEMORIAL HIGH SCHOOL,50215,CA
STOCKDALE HIGH SCHOOL,50217,CA
HIGHLAND HIGH SCHOOL,50218,CA
NORTH HIGH SCHOOL,50220,CA
VISTA HIGH SCHOOL,50222,CA
SOUTH HIGH SCHOOL,50223,CA
WEST HIGH SCHOOL,50224,CA
BALDWIN PARK HIGH SCHOOL,50225,CA
SIERRA VISTA HIGH SCHOOL,50228,CA
BANNING HIGH SCHOOL,50230,CA
BARSTOW HIGH SCHOOL,50235,CA
BASSETT HIGH SCHOOL,50238,CA
BEAUMONT HIGH SCHOOL,50240,CA
